Place.of.residence,unemployment_rate,mean_poverty_rate,income,enterprise_birth_rate,enterprise_death_rate,marital_rate,foreign_born_rate,crime_rate,religous_ppl_rate,long_term_illness_rate,daily_activity_limit_rate,far_right_rate,right_leaning_rate,left_leaning_rate,university_rate,population density,female_rate
Harju County,0.0368733505099706,0.183,1835,4.5,24.9,0.37385515186580237,0.34726400864348395,0.00851152527285151,0.32163731181737676,0.26867565940413624,0.22075597572286315,0.10798819293713587,0.5741350147219776,0.27917586406400285,0.36428900355409666,1.474,0.5247889977821784
Tartu County,0.03143666481926227,0.2375,1656,0.8,23.5,0.34685931015186605,0.1356997971602434,0.0023252663341338754,0.2076630139115567,0.31750760649087223,0.28524340770791073,0.1599688115141754,0.6385459007592607,0.17221412685021859,0.3273747532370634,0.485,0.5215770791075051
Ida-Viru County,0.050495658303213904,0.34725,1264,1.9,19.2,0.4255561992546541,0.6548541897379107,0.001703684818308613,0.5188067444876784,0.41230977851438905,0.3533976194063583,0.08267743717205192,0.2717136150234742,0.3353355426677713,0.19222488348565944,0.449,0.5400215457168471
Pärnu County,0.03397469628680592,0.25075000000000003,1382,0.8,20.9,0.32873285243714295,0.11619414304048535,0.0011439291679059232,0.19763724808895067,0.35620114339050285,0.31104888577762224,0.25781783100778843,0.5449775288830325,0.18296901103555377,0.1890644762262158,0.161,0.528176408820441
Lääne-Viru County,0.033569319554422224,0.20525,1390,0.4,19.8,0.3340876944837341,0.14922754603212454,0.001036773587437928,0.17781369973732067,0.34031681144609094,0.29654232669051267,0.20105454545454546,0.5672,0.2098909090909091,0.17512628813901798,0.161,0.5193411572331329
Viljandi County,0.02487017113307185,0.27649999999999997,1386,0.6,18.7,0.3151214700996678,0.07557307378944356,8.808642110568179e-4,0.1458603685439917,0.39660867650297293,0.3270204800704691,0.22711290532621434,0.5283240005209011,0.23418847940270002,0.17885693521594684,0.133,0.5202915464734768
Võru County,0.032520325203252036,0.30925,1313,0.7,19.8,0.31834360027378505,0.08279695728496196,9.14998397295801e-4,0.2731006160164271,0.3952603861907548,0.3633703920421299,0.2871854176992125,0.42419736769645905,0.27237182664243625,0.1757015742642026,0.124,0.5157694558221182
Rapla County,0.030936012691697514,0.22725,1505,0.5,18.8,0.33781452192667144,0.07951325718035133,0.0011281508901815618,0.1736161035226456,0.3197136892335222,0.28780196838651956,0.22745388294238214,0.5727055340469142,0.17917330904122067,0.18389647735442127,0.12300000000000001,0.5111097855587701
Saare County,0.027413139509383126,0.21100000000000002,1366,0.6,21,0.3342122113827263,0.03285184711747412,0.0012845013941539523,0.21468926553672316,0.3422818791946309,0.29178651326302335,0.20165325212094845,0.556449858603437,0.2339569284315858,0.1993672078044371,0.109,0.5206122970727343
Järva County,0.03192338387869114,0.24675,1433,0.5,19.4,0.3310985043837029,0.08462134222312018,9.377494014365523e-4,0.14676715589051964,0.3387205387205387,0.2868686868686869,0.23549533838620967,0.5214970822992823,0.23167214434234354,0.15646447415400483,0.11199999999999999,0.5188402868976665
Valga County,0.042896777406274456,0.33425000000000005,1285,0.6,19.7,0.3244530624288665,0.20798524465661278,0.0014939176211140356,0.23524451939291738,0.40687160940325495,0.35298372513562387,0.22220382481993542,0.5095620498385628,0.2536633827303585,0.15921257851030646,0.147,0.5168348341832122
Jõgeva County,0.031183532210966508,0.28925,1347,0.6,20.9,0.3302288673571667,0.0831359035106612,0.0014420130502181044,0.20634920634920634,0.40236898779612346,0.3499641062455133,0.21024161557879553,0.5534078615218175,0.20706815723043634,0.16004009355162044,0.109,0.5200301529183717
Põlva County,0.033241803960725576,0.265,1344,0.3,19.1,0.32373574978076586,0.0756950523112834,0.0012314861041770677,0.21626887481734047,0.4114214255939975,0.40933722384326804,0.2684950995889978,0.4748656338918748,0.24391400569079988,0.1740719087985969,0.132,0.5120253428368972
Lääne County,0.030404098994586234,0.237,1390,0.7,22.3,0.33649758313435446,0.1390577883236937,0.0010924207269914928,0.25101921956901574,0.3588729609490855,0.31141868512110726,0.20565727017339921,0.5410248958636056,0.24295263004940423,0.19276687438122417,0.114,0.5271145385337881
Hiiu County,0.019117299976398393,0.3075,1404,0.9,20.3,0.3415748454716474,0.03330587266093916,9.440641963653528e-4,0.14650537634408603,0.35411764705882354,0.28352941176470586,0.1276559287183002,0.5354694996572995,0.3298492117888965,0.2110991668906208,0.08199999999999999,0.5101800635518419
