,Trait,Indicator,LMlag statistic,LMlag p value,LMerr statistic,LMerr p value,model pick,Err Coefficient,Err p value,Lag coef,Lag coef p,lm Coefficient,lm p value,Picked Coefficient,Picked p value
1,Extraversion,Voting far-right parties,49.345,0,35.177,0,lag,-0.093,0.145,-0.176,0.016,-0.418,0.001,-0.176,0.016
2,Extraversion,Voting right-leaning parties,10.916,0.001,8.342,0.004,lag,0.456,0,0.438,0,0.506,0,0.438,0
3,Extraversion,Voting left-leaning parties,2.001,0.157,2.831,0.092,lm,-0.369,0.004,-0.313,0.012,-0.307,0.021,-0.307,0.021
4,Extraversion,Enterprise birth rate,0.15,0.698,0.054,0.816,lm,-0.099,0.479,-0.103,0.463,-0.115,0.43,-0.115,0.43
5,Extraversion,Enterprise death rate,0.984,0.321,1.505,0.22,lm,0.17,0.169,0.147,0.267,0.115,0.407,0.115,0.407
6,Extraversion,Income,29.736,0,9.914,0.002,lag,0.441,0,0.513,0,0.716,0,0.513,0
7,Extraversion,Unemployment,4.315,0.038,5.361,0.021,error,-0.417,0.001,-0.349,0.005,-0.332,0.015,-0.417,0.001
8,Extraversion,Married residents,31.392,0,19.405,0,lag,0.228,0.012,0.292,0.001,0.445,0,0.292,0.001
9,Extraversion,Foreign-born residents,15.913,0,15.247,0,lag,-0.312,0.004,-0.17,0.128,-0.064,0.629,-0.17,0.128
10,Extraversion,Religiosity,18.188,0,20.827,0,error,-0.328,0.002,-0.239,0.029,-0.175,0.193,-0.328,0.002
11,Extraversion,Total crime,3.274,0.07,0.587,0.444,lm,-0.041,0.754,0.16,0.207,0.308,0.024,0.308,0.024
12,Extraversion,Daily activity limit,40.835,0,21.598,0,lag,-0.301,0,-0.414,0,-0.71,0,-0.414,0
13,Extraversion,Long-term illness,30.436,0,13.264,0,lag,-0.359,0,-0.463,0,-0.68,0,-0.463,0
14,Extraversion,University degree,16.549,0,1.624,0.203,lag,0.485,0,0.519,0,0.677,0,0.519,0
15,Extraversion,Urbanicity,0.208,0.648,0.165,0.684,lm,0.199,0.105,0.161,0.207,0.125,0.345,0.125,0.345
16,Openness,Voting far-right parties,60.044,0,55.07,0,lag,-0.07,0.223,-0.035,0.577,-0.11,0.302,-0.035,0.577
17,Openness,Voting right-leaning parties,11.226,0.001,8.761,0.003,lag,0.047,0.661,0.084,0.401,0.161,0.161,0.084,0.401
18,Openness,Voting left-leaning parties,1.593,0.207,1.48,0.224,lm,0,1,-0.004,0.972,-0.024,0.834,-0.024,0.834
19,Openness,Enterprise birth rate,0.257,0.612,0.004,0.951,lm,0.362,0.001,0.363,0.001,0.364,0.002,0.364,0.002
20,Openness,Enterprise death rate,1.981,0.159,2.564,0.109,lm,0.298,0.003,0.313,0.003,0.274,0.016,0.274,0.016
21,Openness,Income,38.498,0,31.869,0,lag,0.047,0.574,0.077,0.325,0.227,0.036,0.077,0.325
22,Openness,Unemployment,3.01,0.083,2.235,0.135,lm,-0.069,0.547,-0.071,0.52,-0.09,0.442,-0.09,0.442
23,Openness,Married residents,37.569,0,30.888,0,lag,-0.076,0.348,-0.053,0.481,0.018,0.863,-0.053,0.481
24,Openness,Foreign-born residents,14.814,0,13.212,0,lag,0.043,0.675,0.002,0.982,-0.016,0.883,0.002,0.982
25,Openness,Religiosity,16.188,0,16.725,0,error,0.052,0.601,0.026,0.784,0.028,0.805,0.052,0.601
26,Openness,Total crime,9.023,0.003,8.812,0.003,lag,0.321,0.002,0.31,0.002,0.349,0.002,0.31,0.002
27,Openness,Daily activity limit,57.333,0,56.479,0,lag,0.133,0.074,0.092,0.187,-0.033,0.781,0.092,0.187
28,Openness,Long-term illness,42.641,0,40.702,0,lag,0.103,0.206,0.058,0.45,-0.079,0.481,0.058,0.45
29,Openness,University degree,21.995,0,12.79,0,lag,0.182,0.035,0.189,0.017,0.332,0.001,0.189,0.017
30,Openness,Urbanicity,0.043,0.836,0.037,0.848,lm,0.234,0.026,0.235,0.025,0.233,0.033,0.233,0.033
31,Agreeableness,Voting far-right parties,53.535,0,34.006,0,lag,0.099,0.129,0.21,0.002,0.43,0,0.21,0.002
32,Agreeableness,Voting right-leaning parties,13.296,0,11.144,0.001,lag,0.064,0.598,0.042,0.71,0.019,0.888,0.042,0.71
33,Agreeableness,Voting left-leaning parties,1.555,0.212,1.57,0.21,lm,-0.107,0.399,-0.099,0.423,-0.109,0.399,-0.109,0.399
34,Agreeableness,Enterprise birth rate,0.28,0.597,0.139,0.71,lm,0.243,0.061,0.251,0.057,0.252,0.068,0.252,0.068
35,Agreeableness,Enterprise death rate,0.565,0.452,0.271,0.602,lm,0.207,0.09,0.227,0.069,0.232,0.076,0.232,0.076
