Place.of.residence,far_right_rate,right_leaning_rate,left_leaning_rate,enterprise_birth_rate,enterprise_death_rate,income,unemployment_rate,marital_rate,foreign_born_rate,religious_ppl_rate,crime_rate,daily_activity_limit_rate,long_term_illness_rate,university_rate,female_rate,population_density
Ruhnu rural municipality,0.08333333333333333,0.6071428571428571,0.27380952380952384,0,11.1,1726,0,0.17647058823529413,0.056179775280898875,0.2222222222222222,0.0022727272727272726,NA,NA,0.4235294117647059,0.5617977528089888,7.4
Muhu rural municipality,0.16626506024096385,0.6208835341365462,0.19839357429718876,1,16.7,1410,0.021341463414634148,0.34273916035788027,0.031591737545565005,0.19310344827586207,1.2195121951219512e-4,0.3151515151515151,0.3515151515151515,0.22298692360633174,0.5097205346294046,7.9
Viimsi rural municipality,0.09868069174540917,0.711980745230879,0.16491353182385451,0.4,24.5,2155,0.028791384834460663,0.42718902117177876,0.17378383321141186,0.21642228739002933,0.0029725881096475614,0.17604023776863284,0.2007315957933242,0.4508239985924579,0.5136704462326261,306.4
Saaremaa rural municipality,0.2048185708423706,0.5514977431267952,0.23635617562576938,0.6,21.4,1363,0.027822861117551587,0.334252928711367,0.03285177792062794,0.21631347461015593,3.17975555629161e-4,0.2902571041948579,0.34269282814614344,0.19735316460757266,0.5210948337111344,11.1
Hiiumaa rural municipality,0.1276559287183002,0.5354694996572995,0.3298492117888965,0.9,20.3,1404,0.019117299976398393,0.3415748454716474,0.03330587266093916,0.14650537634408603,5.664385178192117e-4,0.28352941176470586,0.35411764705882354,0.2110991668906208,0.5101800635518419,8.2
Kihnu rural municipality,0.1907356948228883,0.6321525885558583,0.1771117166212534,0,18.5,1371,0.02835538752362949,0.34518828451882844,0.012704174228675136,0.375,NA,0.3090909090909091,0.34545454545454546,0.16317991631799164,0.5117967332123412,30.7
Vormsi rural municipality,0.2140221402214022,0.5498154981549815,0.23247232472324722,0,22.2,1408,0.023972602739726026,0.36900369003690037,0.12292358803986711,0.25925925925925924,0.002054794520547945,0.26666666666666666,0.26666666666666666,0.23616236162361623,0.5016611295681063,3.1
Viljandi city,0.18527607361963191,0.5605131065253764,0.24350250976017848,0.5,17.9,1447,0.02403042701550164,0.3226229961304588,0.08640185561032183,0.16516931582584657,0.0012562669279087189,0.3055072463768116,0.3872463768115942,0.2244333886124931,0.5434618730066686,1182.9
Jõhvi rural municipality,0.12813667912439936,0.3804057661505606,0.2920448478376935,1.1,15.3,1442,0.04655493482309125,0.4171241452374073,0.5138098426514898,0.4633911368015414,NA,0.3179916317991632,0.40418410041841,0.25127612443417124,0.5085369936391028,99.6
Kohtla-Järve city,0.07450089271222204,0.18957961369907483,0.3684466807336471,1.7,17.7,1261,0.05270972531551596,0.41383933175208826,0.6499597002895608,0.5084221381918185,0.0021083890126206385,0.3534328358208955,0.4092537313432836,0.17321508370286343,0.5414788501149288,855.8
Rakvere city,0.19072708113804004,0.583113804004215,0.20943097997892518,0.4,19.5,1451,0.034584347380555915,0.3231712108116602,0.13625255927613764,0.16732128829536527,0.001857307544511336,0.28335535006605017,0.32628797886393657,0.2212618841832325,0.5349712700614226,1452.5
Keila city,0.1348590883298657,0.6527331189710611,0.18763003593720445,0.4,21.9,1773,0.03044475011462632,0.3702648141550885,0.1568720830555291,0.22802850356294538,0.003466299862448418,0.22285714285714286,0.23238095238095238,0.28583303645647784,0.5244308981807791,971.9
Toila rural municipality,0.15051647811116575,0.5469749139203148,0.2090506640432858,0,20.6,1495,0.03317865429234339,0.44803446418955306,0.2994232987312572,0.25336927223719674,9.280742459396752e-4,0.3248847926267281,0.3824884792626728,0.24474959612277866,0.518800461361015,16.2
Haapsalu city,0.1878140703517588,0.5537060301507538,0.24701633165829145,0.8,22.6,1394,0.03215481950130257,0.3363506004660333,0.1725555893999391,0.278673835125448,0.0013248976553777447,0.3214013709063214,0.36785986290936784,0.2058612654597598,0.5442430703624733,49.4
Harku rural municipality,0.11594368776467895,0.7298843996795239,0.13036511388348404,0.4,24.5,2027,0.029836937666242628,0.4231827111984283,0.14181929181929182,0.192458758837392,0.0014224586561813345,0.20207570207570208,0.2271062271062271,0.3993713163064833,0.5044566544566544,108.7
Tori rural municipality,0.2788980914656104,0.5277277637738567,0.1832913215700396,0.9,20.6,1382,0.033069968233281746,0.35153087701089775,0.10294241632240114,0.21058091286307054,2.1177812169096685e-4,0.2715008431703204,0.2984822934232715,0.1620134924753503,0.5148807014585617,20.1
Raasiku rural municipality,0.15556355779618294,0.6723082463089665,0.1544832553114872,0.2,19.4,1742,0.030658591975775928,0.3697645600991326,0.08543499511241447,0.14603960396039603,8.327024981074944e-4,0.19921875,0.228515625,0.24882280049566294,0.506158357771261,33.2
Narva city,0.029810589754627637,0.13258717176065432,0.3796814464055101,2.7,20.6,1200,0.052324825986078884,0.4426065055920772,0.7558520989713651,0.608324439701174,0.0016148491879350347,0.34099332839140106,0.4140103780578206,0.18564842482711516,0.5503845797423779,784.3
Rakvere rural municipality,0.20506042296072508,0.5611782477341389,0.2209214501510574,0.2,24.3,1405,0.030551288615804743,0.36273684210526314,0.11731940818102699,0.13052631578947368,4.09626216077829e-4,0.2852173913043478,0.32521739130434785,0.16442105263157894,0.5115752828546563,19.9
Maardu city,0.07323943661971831,0.28676056338028166,0.483943661971831,0.8,17.6,1384,0.052417910447761194,0.44406508789771904,0.643661100803958,0.46768336964415397,0.004847761194029851,0.22696351267779838,0.2782931354359926,0.1865465639982566,0.522077922077922,714.6
Võru city,0.29259259259259257,0.39114331723027373,0.30547504025764893,0.1,17.8,1332,0.032849440066362506,0.30749354005167956,0.09523809523809523,0.27335984095427435,0.001808378266279552,0.34203875315922494,0.3866891322662174,0.20065593321407274,0.5414243573535609,860.5
Räpina rural municipality,0.3036632390745501,0.4305912596401028,0.25353470437017994,0,21.8,1307,0.033724582575632336,0.3244810173929306,0.12739165985282094,0.3252336448598131,2.645065300049595e-4,0.46895424836601307,0.45588235294117646,0.14531512997942772,0.514636140637776,10.2
Jõelähtme rural municipality,0.15196374622356495,0.6395770392749245,0.17190332326283989,0.4,20.9,1746,0.033949349760438056,0.3953281027104137,0.20229555236728838,0.23172905525846701,0.002053388090349076,0.20803443328550933,0.25107604017216645,0.2781740370898716,0.49540889526542325,34.6
Rae rural municipality,0.1039426523297491,0.7376160279386086,0.1386821064240419,0.3,21.1,2200,0.024839347503707365,0.4034345144515661,0.14554585152838428,0.17654171704957677,0.002018454440599769,0.1759825327510917,0.19344978165938864,0.3993832386020075,0.4883842794759825,117.4
Kastre rural municipality,0.17938682322243965,0.5247879973907371,0.2837573385518591,1,21.5,1523,0.030080447708989155,0.3575521430208572,0.0701592002961866,0.16743119266055045,5.246589716684155e-4,0.29444444444444445,0.3,0.2243868897547559,0.5012958163643095,11.6
Alutaguse rural municipality,0.17243214475784993,0.5300691857370942,0.19904204364023417,0.4,24.8,1375,0.037835249042145594,0.3664355062413315,0.23974082073434125,0.3185595567867036,7.183908045977011e-4,0.33573141486810554,0.37889688249400477,0.19694868238557559,0.5245980321574274,2.9
Saarde rural municipality,0.3268698060941828,0.43674976915974145,0.2299168975069252,0,21.9,1333,0.036193944912360575,0.3014569536423841,0.04552770751896988,0.15343915343915343,1.821078989301161e-4,0.36551724137931035,0.4091954022988506,0.14516556291390728,0.5065532306277305,4.1
Nõo rural municipality,0.19836136265631737,0.6451056489866321,0.1366968520914187,0.7,24.3,1525,0.03404056889717883,0.3780949606757938,0.06211908110642288,0.13994169096209913,1.8652366519002097e-4,0.30679156908665106,0.3372365339578454,0.27934750946693854,0.5025785278949836,25.4
Häädemeeste rural municipality,0.24969499796665312,0.5709638064253761,0.17080113867425784,1.1,20.3,1397,0.031858028650844555,0.32451181911613564,0.05719237435008666,0.17223650385604114,7.269617276031645e-4,0.27705627705627706,0.3008658008658009,0.16803699897225077,0.511265164644714,9.5
Põhja-Pärnumaa rural municipality,0.2746930058729311,0.5178857447944474,0.19754404698344902,0.5,18.3,1334,0.02967359050445104,0.31629994209612045,0.06597912524850895,0.11722141823444283,3.956478733926805e-4,0.3577639751552795,0.3950310559006211,0.12463810075275043,0.5211232604373758,8
Kehtna rural municipality,0.25206463195691203,0.503052064631957,0.2258527827648115,0.6,17.2,1445,0.03667033370003667,0.3286790780141844,0.0869243573145922,0.17516629711751663,0.0011734506784011735,0.3031423290203327,0.3234750462107209,0.15226063829787234,0.5148881080081376,10.7
Tõrva rural municipality,0.22693266832917705,0.5330423940149626,0.2275561097256858,0,22,1329,0.03906516547253497,0.31042701092353525,0.0497275204359673,0.1111111111111111,3.070624360286591e-4,0.3645655877342419,0.403747870528109,0.16007944389275075,0.5163487738419619,9.1
Kiili rural municipality,0.11156782149148561,0.7527891955372872,0.11538461538461539,0.1,25.4,2036,0.024722265686121108,0.4262086513994911,0.09099756690997567,0.15677966101694915,8.449381943357847e-4,0.17341977309562398,0.19448946515397084,0.3746819338422392,0.4966747769667478,63.4
Lüganuse rural municipality,0.1359621451104101,0.42902208201892744,0.30977917981072556,0.3,18.9,1266,0.05296969696969697,0.3738986784140969,0.3744375532044266,0.3484848484848485,1.4545454545454546e-4,0.3978102189781022,0.42092457420924573,0.14812775330396477,0.5333819773805181,13.8
Haljala rural municipality,0.19758232596915382,0.6290120883701542,0.16465193830762817,0,17.2,1479,0.02480353634577603,0.3384659252922726,0.06332518337408313,0.13105413105413105,9.823182711198428e-4,0.2787286063569682,0.3251833740831296,0.20929569432563444,0.49290953545232274,7.4
Lääne-Harju rural municipality,0.15496319872687486,0.6089118758703004,0.19076984284861748,0.3,23.1,1496,0.05006685485069083,0.3567508232711306,0.3291528814341771,0.32387923147301007,9.95394443619076e-4,0.2753846153846154,0.34615384615384615,0.19154774972557628,0.5203508501961991,20.8
